,,,,,,,Population,Population,Population,Population in 2015 (readjusted),Population change number for 5 years,Population change rate for 5 years,Sex ratio,Area (reference),Population density,Number of households,Number of households,Number of households,Number of households in 2015 (readjusted),Number of households change number for 5 years,Number of households change rate for 5 years,Household members,Household members,Household members
,,,,,,,Sex,Sex,Sex,,,,,,,Type of household,Type of household,Type of household,,,,Type of household,Type of household,Type of household
,,,,,,,1,1,1,,,,,,,1,1,1,,,,1,1,1
,,,,,,,0_Total,1_Male,2_Female,,,,,,,0_Total,1_Private households,2_Institutional households,,,,0_Total,1_Private households,2_Institutional households
,,,,,,,(people),(people),(people),(people),(people),(%),,(km2),(per km2),(households),(households),(households),(households),(households),(%),(people),(people),(people)
Identification Area codes,Prefectures(2000),Area codes (2000),Areas in 2000,Prefectures (2020),Area codes (2020),Areas, ,,,,,,,,,,,,,,,,,
9,36_Tokushima-ken,36422,2000,36_Tokushima-ken,36206,3134_(Municipalities as of 2000) Awa-cho,"10,944","5,255","5,689","11,709",-765,-6.53344,92.37124,48.58,225.3,"4,012","3,999",13,"4,052",-40,-0.98717,"10,944","10,641",303
2,36_Tokushima-ken,36207,,36_Tokushima-ken,36207,3135_Mima-shi,"28,055","13,342","14,713","30,501","-2,446",-8.01941,90.68171,367.14,76.4,"11,244","11,197",47,"11,440",-196,-1.71329,"28,055","26,595","1,460"
9,36_Tokushima-ken,36461,2000,36_Tokushima-ken,36207,3136_(Municipalities as of 2000) Waki-machi,"15,259","7,260","7,999","16,028",-769,-4.79785,90.76135,111.09,137.4,"6,044","6,012",32,"5,943",101,1.69948,"15,259","14,384",875
9,36_Tokushima-ken,36462,2000,36_Tokushima-ken,36207,3137_(Municipalities as of 2000) Mima-cho,"7,074","3,379","3,695","7,805",-731,-9.36579,91.44790,46.44,152.3,"2,748","2,739",9,"2,800",-52,-1.85714,"7,074","6,645",429
9,36_Tokushima-ken,36466,2000,36_Tokushima-ken,36207,3138_(Municipalities as of 2000) Anabuki-cho,"5,280","2,484","2,796","6,029",-749,-12.42329,88.84120,108.88,48.5,"2,194","2,189",5,"2,341",-147,-6.27937,"5,280","5,130",150
9,36_Tokushima-ken,36467,2000,36_Tokushima-ken,36207,3139_(Municipalities as of 2000) Koyadaira-son,442,219,223,639,-197,-30.82942,98.20628,100.97,4.4,258,257,1,356,-98,-27.52809,442,436,6
2,36_Tokushima-ken,36208,,36_Tokushima-ken,36208,3140_Miyoshi-shi,"23,605","11,117","12,488","26,836","-3,231",-12.03980,89.02146,721.42,32.7,"10,325","10,276",49,"11,311",-986,-8.71718,"23,605","22,243","1,362"
9,36_Tokushima-ken,36481,2000,36_Tokushima-ken,36208,3141_(Municipalities as of 2000) Mino-cho,"4,027","1,907","2,120","4,404",-377,-8.56040,89.95283,43.04,93.6,"1,590","1,583",7,"1,633",-43,-2.63319,"4,027","3,796",231
9,36_Tokushima-ken,36483,2000,36_Tokushima-ken,36208,3142_(Municipalities as of 2000) Ikeda-cho,"11,441","5,410","6,031","12,812","-1,371",-10.70091,89.70320,167.81,68.2,"5,012","4,985",27,"5,468",-456,-8.33943,"11,441","10,697",744
9,36_Tokushima-ken,36484,2000,36_Tokushima-ken,36208,3143_(Municipalities as of 2000) Yamashiro-cho,"2,987","1,408","1,579","3,621",-634,-17.50898,89.17036,131.58,22.7,"1,363","1,359",4,"1,574",-211,-13.40534,"2,987","2,889",98
9,36_Tokushima-ken,36485,2000,36_Tokushima-ken,36208,3144_(Municipalities as of 2000) Ikawa-cho,"3,265","1,494","1,771","3,644",-379,-10.40066,84.35912,44.50,73.4,"1,370","1,364",6,"1,475",-105,-7.11864,"3,265","3,105",160
9,36_Tokushima-ken,36487,2000,36_Tokushima-ken,36208,3145_(Municipalities as of 2000) Higashiiyayama-son,"1,020",502,518,"1,281",-261,-20.37471,96.91120,228.62,4.5,549,546,3,648,-99,-15.27778,"1,020",939,81
9,36_Tokushima-ken,36488,2000,36_Tokushima-ken,36208,3146_(Municipalities as of 2000) Nishiiyayama-son,865,396,469,"1,074",-209,-19.45996,84.43497,106.06,8.2,441,439,2,513,-72,-14.03509,865,817,48
3,36_Tokushima-ken,36301,2000,36_Tokushima-ken,36301,3147_Katsuura-cho,"4,837","2,317","2,520","5,301",-464,-8.75307,91.94444,69.83,69.3,"1,847","1,840",7,"1,860",-13,-0.69892,"4,837","4,631",206
3,36_Tokushima-ken,36302,2000,36_Tokushima-ken,36302,3148_Kamikatsu-cho,"1,380",651,729,"1,545",-165,-10.67961,89.30041,109.63,12.6,638,635,3,732,-94,-12.84153,"1,380","1,261",119
3,36_Tokushima-ken,36321,2000,36_Tokushima-ken,36321,3149_Sanagouchi-son,"2,058",998,"1,060","2,289",-231,-10.09174,94.15094,42.28,48.7,771,769,2,793,-22,-2.77427,"2,058","2,007",51
3,36_Tokushima-ken,36341,2000,36_Tokushima-ken,36341,3150_Ishii-cho,"24,833","11,752","13,081","25,590",-757,-2.95819,89.84023,28.85,860.8,"9,624","9,584",40,"9,327",297,3.18430,"24,833","24,225",608
3,36_Tokushima-ken,36342,2000,36_Tokushima-ken,36342,3151_Kamiyama-cho,"4,647","2,183","2,464","5,300",-653,-12.32075,88.59578,173.30,26.8,"2,021","2,013",8,"2,156",-135,-6.26160,"4,647","4,411",236
3,36_Tokushima-ken,36368,,36_Tokushima-ken,36368,3152_Naka-cho,"7,367","3,521","3,846","8,402","-1,035",-12.31850,91.54966,694.98,10.6,"3,187","3,176",11,"3,481",-294,-8.44585,"7,367","6,990",377
9,36_Tokushima-ken,36363,2000,36_Tokushima-ken,36368,3153_(Municipalities as of 2000) Wajiki-cho,"2,638","1,269","1,369","2,881",-243,-8.43457,92.69540,30.14,87.5,"1,025","1,018",7,"1,082",-57,-5.26802,"2,638","2,421",217
9,36_Tokushima-ken,36364,2000,36_Tokushima-ken,36368,3154_(Municipalities as of 2000) Aioi-cho,"2,198","1,057","1,141","2,480",-282,-11.37097,92.63804,101.04,21.8,859,857,2,916,-57,-6.22271,"2,198","2,114",84
9,36_Tokushima-ken,36365,2000,36_Tokushima-ken,36368,3155_(Municipalities as of 2000) Kaminaka-cho,"1,187",534,653,"1,433",-246,-17.16678,81.77642,175.27,6.8,576,575,1,669,-93,-13.90135,"1,187","1,119",68
9,36_Tokushima-ken,36366,2000,36_Tokushima-ken,36368,3156_(Municipalities as of 2000) Kisawa-son,404,201,203,490,-86,-17.55102,99.01478,154.97,2.6,211,211,-,236,-25,-10.59322,404,404,-
9,36_Tokushima-ken,36367,2000,36_Tokushima-ken,36368,3157_(Municipalities as of 2000) Kito-son,940,460,480,"1,118",-178,-15.92129,95.83333,233.44,4.0,516,515,1,578,-62,-10.72664,940,932,8
3,36_Tokushima-ken,36383,2000,36_Tokushima-ken,36383,3158_Mugi-cho,"3,743","1,735","2,008","4,259",-516,-12.11552,86.40438,56.62,66.1,"1,718","1,712",6,"1,871",-153,-8.17745,"3,743","3,489",254
3,36_Tokushima-ken,36387,,36_Tokushima-ken,36387,3159_Minami-cho,"6,222","2,923","3,299","7,092",-870,-12.26734,88.60261,140.74,44.2,"2,677","2,665",12,"2,901",-224,-7.72148,"6,222","5,741",481
9,36_Tokushima-ken,36381,2000,36_Tokushima-ken,36387,3160_(Municipalities as of 2000) Yuki-cho,"2,079",947,"1,132","2,505",-426,-17.00599,83.65724,23.16,89.8,961,959,2,"1,091",-130,-11.91567,"2,079","2,011",68
9,36_Tokushima-ken,36382,2000,36_Tokushima-ken,36387,3161_(Municipalities as of 2000) Hiwasa-cho,"4,143","1,976","2,167","4,587",-444,-9.67953,91.18597,117.69,35.2,"1,716","1,706",10,"1,810",-94,-5.19337,"4,143","3,730",413
3,36_Tokushima-ken,36388,,36_Tokushima-ken,36388,3162_Kaiyo-cho,"8,358","3,965","4,393","9,283",-925,-9.96445,90.25723,327.67,25.5,"4,018","4,010",8,"4,198",-180,-4.28776,"8,358","8,103",255
9,36_Tokushima-ken,36384,2000,36_Tokushima-ken,36388,3163_(Municipalities as of 2000) Kainan-cho,"4,207","2,019","2,188","4,687",-480,-10.24109,92.27605,209.22,20.1,"1,979","1,975",4,"2,064",-85,-4.11822,"4,207","4,111",96
9,36_Tokushima-ken,36385,2000,36_Tokushima-ken,36388,3164_(Municipalities as of 2000) Kaifu-cho,"1,721",813,908,"1,859",-138,-7.42335,89.53744,26.36,65.3,915,915,-,924,-9,-0.97403,"1,721","1,721",-
9,36_Tokushima-ken,36386,2000,36_Tokushima-ken,36388,3165_(Municipalities as of 2000) Shishikui-cho,"2,430","1,133","1,297","2,737",-307,-11.21666,87.35544,92.00,26.4,"1,124","1,120",4,"1,210",-86,-7.10744,"2,430","2,271",159
3,36_Tokushima-ken,36401,2000,36_Tokushima-ken,36401,3166_Matsushige-cho,"14,583","7,193","7,390","15,204",-621,-4.08445,97.33424,14.24,"1,024.1","5,847","5,825",22,"5,881",-34,-0.57813,"14,583","13,628",955
3,36_Tokushima-ken,36402,2000,36_Tokushima-ken,36402,3167_Kitajima-cho,"22,745","10,976","11,769","22,446",299,1.33209,93.26196,8.74,"2,602.4","9,353","9,346",7,"8,824",529,5.99501,"22,745","22,486",259
3,36_Tokushima-ken,36403,2000,36_Tokushima-ken,36403,3168_Aizumi-cho,"35,246","16,868","18,378","34,626",620,1.79056,91.78365,16.27,"2,166.3","13,973","13,945",28,"13,133",840,6.39610,"35,246","34,509",737
3,36_Tokushima-ken,36404,2000,36_Tokushima-ken,36404,3169_Itano-cho,"13,042","6,262","6,780","13,358",-316,-2.36562,92.35988,36.22,360.1,"5,054","5,032",22,"4,930",124,2.51521,"13,042","12,548",494
3,36_Tokushima-ken,36405,2000,36_Tokushima-ken,36405,3170_Kamiita-cho,"11,384","5,431","5,953","12,039",-655,-5.44065,91.23131,34.58,329.2,"4,246","4,232",14,"4,256",-10,-0.23496,"11,384","10,930",454
3,36_Tokushima-ken,36468,,36_Tokushima-ken,36468,3171_Tsurugi-cho,"7,715","3,608","4,107","8,927","-1,212",-13.57679,87.85001,194.84,39.6,"3,407","3,400",7,"3,838",-431,-11.22981,"7,715","7,490",225
9,36_Tokushima-ken,36463,2000,36_Tokushima-ken,36468,3172_(Municipalities as of 2000) Handa-cho,"3,309","1,541","1,768","3,797",-488,-12.85225,87.16063,51.52,64.2,"1,441","1,437",4,"1,610",-169,-10.49689,"3,309","3,190",119
9,36_Tokushima-ken,36464,2000,36_Tokushima-ken,36468,3173_(Municipalities as of 2000) Sadamitsu-cho,"3,894","1,808","2,086","4,428",-534,-12.05962,86.67306,45.40,85.8,"1,665","1,662",3,"1,828",-163,-8.91685,"3,894","3,788",106
9,36_Tokushima-ken,36465,2000,36_Tokushima-ken,36468,3174_(Municipalities as of 2000) Ichiu-son,512,259,253,702,-190,-27.06553,102.37154,97.88,5.2,301,301,-,400,-99,-24.75000,512,512,-
3,36_Tokushima-ken,36489,,36_Tokushima-ken,36489,3175_Higashimiyoshi-cho,"13,622","6,515","7,107","14,638","-1,016",-6.94084,91.67018,122.48,111.2,"5,182","5,162",20,"5,325",-143,-2.68545,"13,622","12,814",808
9,36_Tokushima-ken,36482,2000,36_Tokushima-ken,36489,3176_(Municipalities as of 2000) Miyoshi-cho,"5,286","2,548","2,738","5,561",-275,-4.94515,93.06063,54.84,96.4,"1,998","1,989",9,"2,035",-37,-1.81818,"5,286","5,127",159
9,36_Tokushima-ken,36486,2000,36_Tokushima-ken,36489,3177_(Municipalities as of 2000) Mikamo-cho,"8,336","3,967","4,369","9,077",-741,-8.16349,90.79881,67.74,123.1,"3,184","3,173",11,"3,290",-106,-3.22188,"8,336","7,687",649
a,37_Kagawa-ken,37000,2000,37_Kagawa-ken,37000,3178_Kagawa-ken,"950,244","459,197","491,047","976,263","-26,019",-2.66516,93.51386,"1,876.78",506.3,"406,985","406,062",923,"398,551","8,434",2.11617,"950,244","920,852","29,392"
2,37_Kagawa-ken,37201,,37_Kagawa-ken,37201,3179_Takamatsu-shi,"417,496","202,029","215,467","420,748","-3,252",-0.77291,93.76331,375.42,"1,112.1","187,511","187,144",367,"182,047","5,464",3.00142,"417,496","405,760","11,736"
9,37_Kagawa-ken,37201,2000,37_Kagawa-ken,37201,3180_(Municipalities as of 2000) Takamatsu-shi,"341,271","165,295","175,976","341,169",102,0.02990,93.93042,194.33,"1,756.1","156,750","156,449",301,"151,749","5,001",3.29557,"341,271","331,667","9,604"
9,37_Kagawa-ken,37342,2000,37_Kagawa-ken,37201,3181_(Municipalities as of 2000) Mure-cho,"16,544","7,884","8,660","17,299",-755,-4.36441,91.03926,16.48,"1,003.9","6,832","6,814",18,"6,821",11,0.16127,"16,544","16,019",525
9,37_Kagawa-ken,37343,2000,37_Kagawa-ken,37201,3182_(Municipalities as of 2000) Aji-cho,"4,592","2,192","2,400","5,086",-494,-9.71294,91.33333,15.82,290.3,"1,856","1,851",5,"1,903",-47,-2.46978,"4,592","4,457",135
9,37_Kagawa-ken,37361,2000,37_Kagawa-ken,37201,3183_(Municipalities as of 2000) Shionoe-cho,"2,202","1,066","1,136","2,750",-548,-19.92727,93.83803,80.10,27.5,964,961,3,"1,059",-95,-8.97073,"2,202","2,122",80
9,37_Kagawa-ken,37362,2000,37_Kagawa-ken,37201,3184_(Municipalities as of 2000) Kagawa-cho,"21,965","10,576","11,389","23,027","-1,062",-4.61198,92.86153,27.33,803.7,"8,808","8,793",15,"8,738",70,0.80110,"21,965","21,436",529
9,37_Kagawa-ken,37363,2000,37_Kagawa-ken,37201,3185_(Municipalities as of 2000) Konan-cho,"7,134","3,507","3,627","7,468",-334,-4.47242,96.69148,14.72,484.6,"2,684","2,671",13,"2,656",28,1.05422,"7,134","6,675",459
9,37_Kagawa-ken,37383,2000,37_Kagawa-ken,37201,3186_(Municipalities as of 2000) Kokubunji-cho,"23,788","11,509","12,279","23,949",-161,-0.67226,93.72913,26.25,906.2,"9,617","9,605",12,"9,121",496,5.43800,"23,788","23,384",404
2,37_Kagawa-ken,37202,,37_Kagawa-ken,37202,3187_Marugame-shi,"109,513","53,018","56,495","110,010",-497,-0.45178,93.84547,111.83,979.3,"45,721","45,617",104,"43,853","1,868",4.25969,"109,513","106,411","3,102"
